Actor, Number of Movies
Karla Tamburrelli, 2
Eugene McHugh, 1
Adriana Asti, 4
Michael McConnohie, 3
Nadja Auermann, 1
Pierre Curzi, 1
Stéphane Moquet, 2
Josette Clavier, 1
Justin Jones, 1
Ronnie Lorenzen, 2
Philip Pretten, 2
Mark Walz, 1
Lisa Bronwyn Moore, 1
Hal Landon Jr., 4
Sandy Andolong, 1
Bob Adrian, 1
Season Hubley, 3
Michal Zebrowski, 2
Billie Burke, 6
John Cazale, 13
Elena Fomina, 1
Daniel Freire, 1
Edgar Givry, 4
Dwayne Markee, 2
Toshiyuki Morikawa, 1
Timothy Omundson, 1
Jenna Boyd, 3
Chus Lampreave, 6
Viveca Dahlén, 1
Mary Kay Mars, 1
Leisa Heintzelman, 1
Bill Romanowski, 1
Nada Fiorelli, 1
Geoffrey Scott, 1
Jonathan Munk, 6
Shane Edelman, 2
Isla Blair, 4
June Lockhart, 5
Connor Widdows, 8
Graham Dene, 1
Ayla Algan, 1
Louis Lindon, 1
Allison Lange, 1
Jan Pavel Filipensky, 3
Shingo Katsurayama, 2
Jean-Marie Paris, 2
Ed Nelson, 12
David Lemieux, 1
Noble, 1
Gracindo Júnior, 2
William Jordan, 5
Brad Turner, 1
Inkeri Luoma-aho, 1
Gérard Lanvin, 1
Lucy Beaumont, 1
Joko Scott, 1
Marshall Bradford, 1
Bob Pridden, 1
Jennifer Grey, 10
Dwier Brown, 6
Gérard Martin, 1
Unshô Ishizuka, 3
Eiros, 2
Charles Natkong Sr., 1
Conrad Bachmann, 1
Antwon Tanner, 2
Abigail Leland, 2
Kit Gwin, 3
Azmi Hassan, 1
Gregg Gibbs, 2
Eve Pearce, 1
Terrence Gehr, 1
Will Estes, 4
Anthony McKay, 1
Adam Paul, 3
Vincent Peranio, 1
Holly Brisley, 1
Zhang Xiangfu, 1
Paul Diomede, 1
Lettie Oosthoek, 1
John Morrison, 1
Tanveer K. Atwal, 4
Rachel Vanowen, 1
Jorge Russek, 6
Lucy Harrison, 1
Antoine Beau, 1
Peter J. Votrian, 2
Oleg Dolin, 2
Anna Gunn, 1
Scott McAfee, 4
Jack Straw, 1
Jennifer Berrington, 1
Marcus Jean Pirae, 4
Catya Sassoon, 1
John Rubinstein, 14
Kathryn Givney, 4
Erica Roby, 1
Rocky Taylor, 1
Eric Hoffman, 2
Jenny Bridges, 1
Zygmunt Malanowicz, 1
Mo Gallini, 2
Chuangao Hou, 1
Miyuu Tsuzuhara, 1
Souleymane Dicko, 1
Lou Taylor Pucci, 1
Hobart Cavanaugh, 3
Franc D'Ambrosio, 2
Fran Brill, 3
Joaquín Cortés, 1
Larisa Miller, 2
Assenech Rodriguez, 1
Orhan Akkus, 1
Nicolette Scorsese, 2
Hiroyuki Oki, 1
Stephen Eugene Walker, 1
Ian Underwood, 1
Brad Dexter, 6
Bucky Santini, 1
Michael Weiss, 1
Rustan Blomqvist, 1
Laurie Lathem, 1
Daisy Tormé, 2
Petra Markham, 3
David Labiosa, 2
Asher Metchik, 1
Samuli Edelmann, 8
Nicholas Day, 1
Louis Perrault, 1
James Lashly, 1
Melinda O. Fee, 1
Joan Chandler, 1
Dorothy Sinclair, 1
Sylvie Blotnikas, 1
Rita Bland, 1
Laura MacAulay, 1
Nicholas J.M. Cloutman, 2
Ron Yuan, 3
Stephane Krora, 1
Adriana Facchetti, 1
William 'Billy' Benedict, 1
Geri Halliwell, 2
Jennifer Esposito, 17
Douglas Leboyare, 1
Cinzia Monreale, 1
Ashika Gogna, 1
Manuela Vargas, 1
Gustavo Salmerón, 2
Mike Reid, 1
Michael Gwisdek, 4
Alexandra Neil, 3
Horton Jupiter, 1
Gheorghe Muresan, 2
Alec Mapa, 3
Lou Rawls, 1
Buster Daniels, 1
Patrick Fischler, 4
Natalie Dessay, 2
Frank Micelli, 1
Douglas Baggott, 1
Maurice Denham, 8
Sherman Smith, 1
Marco Bretscher-Coschignano, 1
Neville Smith, 2
Stephen Graham, 6
Leonard Peltier, 1
Julie Herbert, 1
Michael Williams, 2
Gene Saks, 3
Clark Kerr, 1
Richard Kind, 9
Michael Weatherly, 2
Martin Azarow, 1
Lew Gallo, 2
Larry Nash, 2
Ravinder, 2
Anna Roedel, 1
Louis Ducreux, 2
Pat Hutchinson, 1
Natalie Wood, 13
Julian Berlin, 1
Peter Faussett, 2
Lionel Briand, 1
Stela Freitas, 1
Ardag Basmadjian, 1
Charles Scorsese, 4
Adam Rifkin, 2
Kevan Ohtsji, 1
Larry O'Brey, 1
Ann Bell, 5
Ted Cole, 3
Florence Lee, 1
Penny Santon, 4
Talent Harris, 1
Manian Pillai Raju, 1
Thorley Walters, 3
Werner Rehm, 1
Peter von Berg, 2
Pasquale Zito, 1
Nick Montgomery, 1
Linda Purl, 3
Ngoc Hiep Nguyen, 1
Jay Ose, 1
Niall Toibin, 4
Greg Black, 1
Dennis Morgan, 1
Alex Hawkins, 1
Dan Snow, 4
Quentin Reynolds, 1
Bill Lee, 1
Kenneth Cranham, 10
Benny Lam, 1
Tulsi Chakraborty, 1
Heinz Baumann, 1
Izzy Meikle-Small, 1
Viviane Chantel, 1
Hugh Grant, 33
Ron Fazio, 4
George Lazenby, 1
Catalina Sandino Moreno, 3
Lynn Farrell, 1
Ruben Brinkman, 1
Edgar Norton, 4
Vince Murdocco, 1
James Parris, 1
Abraham Gordon, 1
David Evans, 1
Dave Barry, 1
Patrick Eudeline, 2
Stan Coles, 1
Hal Rich, 1
Ron Jeremy, 11
Geraldine Alexander, 1
Natalie Mendoza, 1
Pat Mullin, 1
Fanny Ardant, 10
Boguslaw Plaszynski, 1
Charles Dyer, 1
Giancarlo Agar, 1
Habis Hussein, 1
Tony Ning, 2
Jackie Raynal, 1
Annette Murphy, 1
Brandis Kemp, 1
Sam Kessel, 1
Masakatsu Funaki, 1
Eddy Mitchell, 2
Haward Watts, 1
Suset Pérez Malberti, 1
Robin Smith, 1
Tina Illman, 1
Amber Beattie, 2
Roy T. Anderson, 1
Angela Little, 3
Alessandro Fersen, 1
William Hoch, 1
Hector MacGregor, 1
Aaron Sanders, 3
Kieran O'Rorke, 1
Felipe de Alba, 1
Marvin Katzoff, 1
Hiroki Touchi, 1
Patty McCormack, 3
John Keefe, 1
Holly Dennison, 2
Joanna David, 1
Alice Cooper, 4
Frances Chaney, 1
Eloise DeJoria, 2
Scotty Leavenworth, 4
Suhail Aldabbach, 1
Lesley Vickerage, 1
Caroline Hutchison, 1
Christina Hernandez, 1
Stewart Scudamore, 1
Billy Hopkins, 1
Elizabeth Maclellan, 2
Eva Darlan, 1
Ekard Rabi, 1
Peter Bennett, 1
Britta Barnes, 1
Lynn 'Red' Williams, 2
Jock MacDonald, 1
Janel Parrish, 1
Leah Cairns, 2
Sheldon Harnick, 1
Joel Thurm, 1
Oliver Mills, 1
Lyn Treadgold, 1
Mark Hunter, 1
Martha Smith, 3
Allan Corduner, 13
Akiko Takeshita, 2
Paul Bandey, 1
MyCale Guyton, 1
Timm Sharp, 6
Kate Barnett, 1
Barbara Gallauner, 1
Ara Celi, 6
Richard Reitinger, 1
Léonard Cobiant, 1
Voyo Goric, 3
Carole Davis, 8
Graeme Campbell, 1
Yee Tong, 1
Isaac Wade, 1
Neena Gupta, 1
Julian Walsh, 2
Carla Romanelli, 1
Frank Minucci, 6
Laura Strachan, 3
Olga Abrego, 1
Christian Culkin, 1
Chris Gilbert, 1
Eduardo Antuña, 1
Viggo Mortensen, 29
Stathis Giallelis, 1
Damien Leake, 3
Kenji Sahara, 3
Glenn Scarpelli, 1
Robert Trebor, 6
Armistead Maupin, 1
Karl Bruckschwaiger, 2
Devorah Rose, 1
Saundra McClain, 1
Esther Marrow, 3
Orit Buchnik Sher, 1
Mary Doran, 1
Lucien Frégis, 2
Sophie Lorain, 3
Patricia Clarkson, 38
Midori Egawa, 1
Warren Vanders, 3
Henry Judd Baker, 2
Larry Gelman, 3
Jill Parker-Jones, 3
Christoph Künzler, 1
Stephen Roberts, 1
Trey Yearwood, 2
Bob Harter, 1
Megan Dorman, 2
Hervé Gamelin, 1
Lewis Van Bergen, 4
Maggie Damon, 1
Natanya Ross, 2
Edwin DeLeon, 1
Aimée Eccles, 2
Jordana Brewster, 7
Mary Louise Gemmill, 1
Smutty Smiff, 1
Geoff Bell, 3
Kelly Aldridge, 1
Aunjanue Ellis, 6
Tristan Tait, 1
Solveig Walking, 1
Addie Daddio, 1
Evan Parke, 5
Luke Vink, 1
Tom Shell, 2
Lara Tosh, 1
Buzz Kilman, 4
Kevin Leroy, 1
Mike Garson, 1
Alexander Rose, 1
Muriel Catalá, 1
Eric Thal, 8
Warren Mitchell, 1
Judith Donner, 1
Delaney Hamilton, 1
Anna Falchi, 1
Sung Hi Lee, 7
Holly Schenck, 1
Tyran 'Ty-Ty' Smith, 1
James Perkins, 1
Melvyn Hayward, 1
Alan Mandell, 1
Masahiko Kato, 1
Mick Murray, 2
Peter DePalma, 2
Julene Renee-Preciado, 3
William Phipps, 3
Jocelyn Jones, 2
Juan Olaguivel, 2
Ian Parsons, 1
Chia Hui Liu, 8
Nona Gaye, 8
Gulshan Grover, 1
Dennis Blake, 2
Susan Saint James, 3
Dorit Sauer, 1
Seung-geun Lee, 1
Brenda Bertin, 1
Daniela Bianchi, 1
Tony Torn, 4
Britt Leary, 2
Elizabeth Thai, 1
Leo Gordon, 5
Nigel Planer, 2
Eugene Byrd, 4
Harriet Pattison, 1
Peter Gannon, 1
Robin Morse, 1
Kô Takasugi, 2
Luke Garrett, 1
Ryan Hanson Bradford, 1
Volker Hauptvogel, 1
Daisuke Ban, 2
R.J. de Vera, 2
Jean Bouchaud, 3
Scott Spiegel, 2
Jack Leal, 1
David Essex, 1
Daamen J. Krall, 2
Kathy Paradise, 1
Catherine Borek, 1
John de Lancie, 6
Bobby Canavarro, 1
Ted Sorel, 1
Ellen Hollman, 1
Brandon Charles, 1
Kathryn Anderson, 1
Ben Salem Bouabdallah, 1
Anna Brewster, 1
Marya Delver, 3
Michel Subor, 3
Pat McCormick, 7
Lolo Herrero, 3
Karen Fergusson, 1
Harry Stockwell, 1
Carla Hidalgo, 1
Tom O'Brien, 8
Thor Fields, 1
Brian McNamara, 8
John Paragon, 6
Monica Borchardt, 2
Fernando Tejero, 1
Sarah Jane Morris, 2
Sharon Spelman, 3
Henri Génès, 1
Martin Garner, 1
Natalie Press, 2
Colm Meaney, 18
DeVone Lawson Jr., 3
Soon-Yi Previn, 1
Fred Williamson, 16
Don Fischer, 2
Michel Beaudry, 1
KaDee Strickland, 4
Richard Whorf, 1
Kathleen Kane, 1
Audrey Hepburn, 18
Noah Wyle, 7
Sandro do Nascimento, 1
Chad McQueen, 2
Vincent Larusso, 2
John Davidson, 6
Errol Flynn, 8
Kazunari Ninomiya, 1
Richard Domeier, 2
Mike Bauer, 1
Guillaume Gouix, 1
J.B. Ghuman Jr., 2
Lachele Carl, 2
Kim Thomson, 2
Alan Reed, 7
Vasek Simek, 3
Alyssa Milano, 11
Richard Lyon, 1
Jean-Michel, 1
Ryan Lambert, 1
Boris, 1
Manon Brunelle, 1
Rod Woodruff, 1
Chyangba Tamang, 2
Meagen Fay, 9
San Kang, 1
Cheryl Needham, 1
Aidan Drummond, 1
The Crinoline Choir, 1
Johnny Galecki, 12
Colin Prockter, 1
Beauty Sossou, 1
Zoey Wilson, 1
Akira Tani, 1
Kerry Williams, 1
Anna Louise Daniels, 1
Isabel Glasser, 3
Stewart Larange, 2
Alice Evans, 2
Jay Baruchel, 9
Shaheen Khan, 4
Louise Carver, 1
Billy Green Bush, 11
Master P, 6
Daniel Giménez Cacho, 5
Didier Raymond, 1
Erik Alexander Gavica, 1
Deborah Moore, 2
Pietro Falcone, 1
Shelley Taylor Morgan, 1
Iris Little Thomas, 4
Estella Warren, 5
Jessica Perritt, 1
Antonia San Juan, 2
Bob Marley, 5
Darren Epton, 1
Michael R. Howard, 1
Samoil Dukovski, 1
Éva Kuli, 1
Randy Fenoli, 1
Jens Albinus, 2
Marcella Rovere, 1
Ana Valeria Dini, 1
Barbara Tissier, 1
Emma Dunn, 3
Dimitri Süsin, 1
Tom Charlfa, 1
Alexandra Korhan, 2
Kristen Sanderson, 1
Herbie Duarte, 1
Randi Ingerman, 1
Dorothy Duffy, 1
Lola Falana, 1
Greg Bennett, 1
Robert Greig, 8
Walter Covell, 1
George W. Scott, 2
Ivy Chen, 1
Catherine Cuenod, 1
Ron Otis, 1
Jacques Villeret, 6
Lex Barker, 3
David Jean Thomas, 2
Lumi Cavazos, 4
Jennifer Prichard, 2
Vladimir Kadochnikov, 1
Rick Mali, 1
Jeff DeRocker, 2
Daniel Chatto, 1
Chiho Terada, 1
Eli Kent, 2
Wilson Benge, 1
Inga Swenson, 1
Aisling Corcoran, 1
Tamara Shanath, 2
Thommie Walsh, 2
Mitchell Cox, 1
John Limnidis, 2
Bobby Parr, 1
Roosevelt Flenoury, 1
Michael Caldwell, 4
Ha-ryong Lim, 1
Jacques Chailleux, 1
Susan Kohner, 3
Martin Hub, 1
Clare Kramer, 4
Zsuzsa Gordon, 1
Paul McCartney, 4
Harold Sylvester, 10
Eartha Kitt, 9
Adrian Quinonez, 1
Royce Wallace, 2
Russell Peters, 1
Marya Cohn, 1
William Bass, 1
Deborah Harmon, 2
Eri Sakai, 1
Mary Demas, 2
Paul Daggett, 1
David Estuardo, 1
Jordi Bosch, 1
Phil Jackson, 1
Frank Cellier, 1
Malcolm Sinclair, 5
James McQueen, 1
Jane How, 2
Wamo Reed Robertson, 1
Derk Cheetwood, 3
Valerie McConnell, 1
Jess Harnell, 8
Liz Byler, 1
George Henare, 2
Michael Imperioli, 13
Dina Treno, 1
Palmer Lee Todd, 1
Chelsea Altman, 1
Cora Lee Day, 2
Duc Hung Luong, 1
Joel Garcia, 1
David Ferry, 6
Hall Johnson Choir, 3
Hwang-ki Baek, 1
Clay O'Brien, 3
Birgit Nordin, 1
Edward Norton, 40
Loyd Catlett, 5
Sérgio Loroza, 1
Ray Otis, 1
Irene Browne, 2
Peter Cohl, 1
Halil Ergün, 1
Bryan Johnson, 1
Jerry Younkins, 1
Nadja Alvarado, 1
Zorka Manojlovic, 1
Ezio Di Cesare, 1
Kay Harding, 1
Don Packard, 1
Stanley Beck, 2
Bill Malin, 1
Dorothee Capelluto, 1
Werner Dissel, 2
Malcolm McLaren, 2
Gail Stefanek, 1
Rita Faltoyano, 2
Daniela Denby-Ashe, 1
Sarah Ellis, 1
Gigi Leung, 1
Bruce Perens, 1
Eric Darnell, 1
Yukui Zhang, 1
Chris Pedersen, 6
Mick Rossi, 1
Elizabeth Dampier, 3
Gary Cunningham, 1
Alison Whelan, 2
Adél Stanczel, 1
Lisa Lyon, 1
Eriq Ebouaney, 10
Golden Brooks, 3
Terence Bayler, 2
Keith Dallas, 3
William LeMassena, 3
Jeanine Attaway, 2
Bin Won, 4
Rob Jarvis, 1
Christophe Charles, 1
Sticky Fingaz, 5
Jennifer Dean, 1
Don Lewis, 1
Mona Lyden, 2
Diego Matamoros, 1
Lou Michaels, 2
Kevin Benton, 4
Angel Boris Reed, 2
Charles Bernard, 1
Laijing Nie, 1
Roger Legris, 1
Colin Skeaping, 1
Damien Richardson, 2
Dana Andersen, 2
George Hulse, 2
Alexander Davion, 1
Gil Bertharion Jr., 1
Frédéric Gorny, 2
Seymour Daniel Jr., 1
Diane Bradley, 1
W. Benson Terry, 2
J. Kenneth Campbell, 11
Karel Bartok, 1
Fumie Kitahara, 1
Susan Traylor, 10
Charles Hyman, 1
Jane Moder, 2
Robert Leon Casey, 1
Desirée Erasmus, 2
Jamie Giddens, 1
Mario Gardner, 1
Thomas Callaway, 2
Wendy Feder, 1
Mikael Rahm, 1
Mogens von Gadow, 1
Blanca Guerra, 1
Sara Mair-Thomas, 1
Denis Forest, 6
Barbara Harris, 11
Yun-Hyeon Park, 1
Pierre Barbaud, 1
Lucien Hubert, 2
Gerard Starkey, 1
Ron MacLachlan, 1
Zach Mills, 2
Ju-seok Lee, 2
Niall Refoy, 1
Ty Hodges, 1
Søren Berlev, 1
Jessica Mackenzie, 1
Charlie Condou, 1
Jim Sheridan, 2
Henry 'Hot Shot' Thomas, 1
Eliza Schneider, 1
Tarô Arakawa, 3
Keith Skinner, 1
C. Ernst Harth, 1
Terrie Snell, 3
Malieek Straughter, 1
Erin McCarthy, 1
Geraldine Brophy, 6
Ken Garito, 1
Robert Warner, 4
Diego Abatantuono, 5
Christine Wipf, 1
Doug Werner, 3
Howard Blakey, 1
Samuel R. Solito, 3
Svetlana Smoleva, 1
Don Lake, 5
Hope Cameron, 1
Rodney Brooks, 1
Joe Guzaldo, 3
Irene Winston, 2
Cecilia Roth, 6
Johanna Black, 2
Richard Harrow, 1
William Roy, 1
Erika Peters, 1
Doris Grau, 1
Crystle Lightning, 3
Guoqing Xu, 1
Alex Hitchcock, 1
Billy Garland, 1
Margo Cunningham, 1
Jasper Kushner, 1
Ed Amatrudo, 2
Marcus Hammond, 1
Maltby Napoleon, 1
Alwyn Scott, 1
Roberta Angelica, 1
T.J. Lowther, 4
Gregory Peck, 36
Tenzin Yeshi Paichang, 1
Michael Piontek, 2
Alakina Mann, 4
Richard Herd, 10
Lan Law, 1
Fanyana H. Sidumo, 2
Walter George Alton, 1
Katie Rimmer, 1
Wayne Brennan, 1
Marie-Françoise Audollent, 1
Robert Webb, 1
Dimitri Andreas, 1
Sami Bouajila, 3
Angelo Fraboni, 2
Waclaw Zastrzezynski, 1
Tamara Clatterbuck, 2
Massimo Vignelli, 1
Connor Funk, 2
Willy Semmelrogge, 2
Joel Wajsberg, 1
Lucas Papaelias, 3
Helen O'Leary, 1
Leroy Baker, 1
William Atherton, 23
Ricard Simo, 1
Dan Palmquist, 1
Nick Ramus, 1
Jean Cromie, 7
Harvey Stockwin, 1
Bruce Bruce, 2
Geraldine Keams, 4
John Garrie, 3
Elsa Duclot, 2
John Schuck, 13
Johnny Unitas, 1
Robert Orr, 2
Pik Sen Lim, 1
Victoria Zussin, 1
Celia Kushner, 2
Anastasia Sharp, 1
Henri Guybet, 1
Joe Flanigan, 2
Z. Wright, 1
Don Zelaya, 1
Tommy Dewey, 1
Craig Hurley, 1
Jean-Marcel Bouguereau, 1
Vic Noto, 1
Avner Garbi, 2
Mao Sasaki, 1
Anders Johnson, 2
Stacii Jae Johnson, 4
Fay Adler, 1
Vivian Bonnell, 1
Jasmine Jessica Anthony, 1
Wulf Kessler, 1
Matti Wuori, 1
Alan Boyce, 3
Mara Krupp, 1
Robert Schwartzman, 3
Lance Smith, 1
Anand Patwardhan, 1
William Nero Jr., 1
David Samuels, 2
Kirsten Vangsness, 2
Richard Gross, 2
Michael Stoyanov, 1
Ananda Ellis, 1
Rob Schrab, 1
Hakim Alston, 3
DeJuan Guy, 1
Stanislaw Igar, 1
Jacques Dacqmine, 5
Mark Strong, 10
Virginie Desarnauts, 1
George Tabori, 1
Kristi Gibson, 1
Yang Lin, 4
Tammi Reiss, 1
Peter Paul, 1
Jon Garrison, 3
Mikela Jay, 1
Jamie Campbell Bower, 2
Conrad Nagel, 1
Raul Martinez, 1
Tahmus Rounds, 2
Carrie Finklea, 1
Earl Maynard, 2
Mark Goddard, 2
Shepard Fairey, 2
Mary LaRoche, 2
Markus Rudolf, 2
Marguerite Gérard, 1
Kathy Fannon, 2
Hugh Gillin, 5
Desmond Harrington, 6
George Kelly, 2
Mark Hannibal, 1
Doug Jackson, 1
Vincent Mazella Jr., 1
Michael von Au, 2
Sean Ryan, 3
Matthew Scurfield, 1
Kevin McDonald, 8
David Sanders, 1
Bill Henderson, 16
Susan Ferrara, 1
Donal McCann, 3
Shelby Shepard, 1
Walter Abel, 4
Robert Lawrenson, 2
Yuki Matsuzaki, 1
Mira Banjac, 2
Christian Hansen, 1
Joey Garfield, 2
Avery Brooks, 6
Tom Cappadona, 2
Herb Edelman, 9
Dogo Roljav, 1
Tommy Duggan, 3
Antonia Brough, 1
Ronald Nealy, 1
Anton Rice, 1
Hannah Farr, 1
Adrienne Posta, 2
Kenny Redd, 1
Paul Sun-Hyung Lee, 1
Gregg Rogell, 2
Peggy Mannix, 2
Richard Warwick, 2
Satu Säävälä, 1
Patrick Taylor, 1
Anatole Taubman, 2
Jarrod Bunch, 2
Annie Leon, 2
Sheldon Collins, 1
Chad Randall, 1
Paul Lees, 1
Nehemiah Persoff, 15
Lesley Manville, 5
Steve Sires, 1
Serge Davri, 1
Malinda McCollum, 2
Moira Quirk, 2
Devon Michael, 1
Michael Gahr, 2
Janeane Garofalo, 30
Jeremy Strong, 2
Anne Betancourt, 4
Chiara Caselli, 3
Eric Forsythe, 2
Elisa Morucci, 1
Sandra Dorne, 1
Peter Bramhill, 1
Marc Hamilton, 1
D.L. Hughley, 6
Joyce Meadows, 1
Shireen Crutchfield, 1
Candi Brough, 1
Brian Bosak, 2
Andrew Leigh, 1
Ichirô Sugai, 3
Beat Presser, 2
Barry McGovern, 3
Purnell Pratt, 1
Elizabeth Gorcey, 3
Amanda Chaney, 1
Devyn A. Tyler, 1
Glenda Farrell, 4
Elisabeth Commelin, 5
Oscar A. Colon, 1
Corey Jaskolski, 1
Fran Waller Zeper, 1
El Moro, 1
Artemis Matsas, 1
Guifa Chang, 1
Barry Brazell, 1
Germaine Delbat, 1
Hinton Battle, 2
Gary Cowan, 3
Peter Pye, 1
Bret Harrison, 3
Molly Bryant, 1
Sarah Badel, 5
Taylor Hubert, 1
Michaela Bercu, 5
Wayne Mahan, 1
John Junkin, 1
Felix Bressart, 4
Reba Devi, 1
Nancy Allen, 12
Gert van den Bergh, 1
Anton Z. Risan, 1
Gérard Klein, 1
Janice Carroll, 2
Arthur O'Connell, 10
Lachlan Mackintosh, 1
Ina Gould, 1
Harry Harvey, 2
Eugenio Esposito, 1
Misato Nakamura, 1
Jarred Rumbold, 1
Asa Maynor, 1
Cab Calloway, 4
MacInTalk, 1
Alfred Hoffmann, 1
Ryan Aristorenas, 1
Alecia Brady Curcuru, 1
Barbara de Koy, 1
Scott Nemes, 1
Kathryn Harrold, 5
Steven Strait, 2
Kent Larson, 1
B. Khorulev, 1
Steve Darrell, 1
Lionel Jeffries, 8
Lee Marvin, 22
Abdolrahman Bagheri, 1
Pius Savage, 1
Paul Antrim, 4
Debora Guetta, 1
Tony Marr, 2
Ian O'Connell, 1
Celeste Oliva, 1
Edward McPhillips, 3
W.H. Harrison, 2
Ford Rainey, 5
Natja Brunckhorst, 1
Jennifer Baxter, 1
Sara Carlisle, 1
Rohn Thomas, 1
Cecilia Rubino, 1
Maria Carretero, 1
Ariel Winter, 7
Philip Moon, 7
Marie Mullen, 4
Joan Hackett, 3
Rodolfo Rodas, 1
Paul Blackthorne, 3
Oliver Johnston, 3
Thomas Arnold, 1
Linzi Drew, 2
Sally Forrest, 1
Kiara Hunter, 2
Cliff Cudney, 2
Sin-hye Park, 1
Barbara June Patterson, 1
Fernando Rubio, 1
Susie Trinh, 1
David Hoey, 2
Helen Shumaker, 1
Clifford Bañagale, 1
Stephanie Beacham, 4
Da Ying, 2
Maimouna Hélène Diarra, 2
Michel Castenholt, 1
Robert Gottlieb, 1
Jin-geun Kim, 1
Hany Said El Deen, 2
Milivoje Tomic, 1
Johnny Weissmuller Jr., 1
Will Patton, 35
David Gulpilil, 10
Steve Baldocchi, 2
Chu Chu Malave, 1
Jim Curley, 4
Wolfgang Heinz, 1
Jill Jane Clements, 1
Dayton Callie, 1
Gerhart Lippert, 1
Dominador Robridillo, 2
James Kayten, 1
James Larkin, 3
Paul Hewitt, 2
Valérie Jeannet, 1
Ebbe Roe Smith, 8
Connor Leggett, 2
Maynard Eziashi, 5
Kate Lansbury, 2
Carol J. Clover, 1
Alun Owen, 1
James Crawford, 1
Allan Stone, 1
T.J. Hargrave, 1
Evelina Meghnagi, 1
Kevin Hagan, 2
Booker Bradshaw, 2
Greg Webb, 2
Reijo Taipale, 1
Margaret Nelson, 3
Rodney Rincon, 1
Shelley R. Bonus, 1
Laurence Harvey, 3
Régis Fontenay, 1
Rami Malek, 3
Jill Frappier, 1
Shabana Azmi, 2
Jesse Williams, 1
Elaine Bilstad, 1
Logan Polish, 2
Arthur Loft, 2
Tom Stern, 3
Joanna Lee, 1
Matt Newton, 1
Edmund Gwenn, 10
Roland Monod, 1
Christian Danley, 1
Nate Maher, 1
Sarah Patterson, 2
Nathan Lopes Cardozo, 1
Cemal Gülas, 1
Diane Fabian, 1
Bong-hak Maeng, 1
Jasper Holmes, 1
Walter Hall, 1
Cecilia Pérez-Cervera, 1
Erika Carlsson, 1
Tom D'Andrea, 1
Linda Smith, 4
Jonathan Isgar, 2
Jeanne Austin, 1
Maurice Good, 1
Al Cliver, 2
Virginia Welles, 1
Josh Groban, 1
Émilie Dequenne, 3
Barry Pepper, 26
Victor Eadie, 1
Cassidy Hinkle, 1
Etta McDaniel, 2
Cindy Crawford, 2
James Franco, 19
Marcel Charvey, 2
Ralph Macchio, 16
Sylvain Honorez, 1
Virginia Simeon, 1
Matthew Faison, 7
Ward Ohrman, 1
Kristina Kennedy, 1
Erick Vigil, 1
Laurence Fox, 4
Margaret Rawlings, 1
John Plumpis, 1
Don Cheadle, 28
Ji-hee Jin, 1
Marissa Chibas, 1
Cary-Hiroyuki Tagawa, 12
Gerrie van der Klei, 1
Susan McConnell, 2
Dennis McLaughlin, 1
Emilia Clarke, 1
Richard Haydn, 6
Jose Pablo Cantillo, 5
Sue Scott, 1
Valerie Taylor, 1
John Simm, 2
Sylvia Roemer, 1
Wendy Westerwelle, 1
Spalding Gray, 11
Wilson Gonzalez Ochsenknecht, 1
Robert Dastoli, 2
Samantha Mathis, 17
Roslyn Washington, 1
Tracey Ullman, 12
Stephanie Penn, 1
Anton LaVey, 1
Richard Robbins, 1
To-hoi Kong, 2
Sam Waterston, 23
Michel Elias, 1
Michael Wolf, 1
Richard Wolffe, 1
Jan Speck, 5
Wilbur 'Hi-Fi' White, 1
Nelly, 6
Chumphorn Thepphithak, 1
Iain Andrew, 1
Travis Schiffner, 2
Tinarie Van Wyk-Loots, 1
Ian Aspinall, 3
Luciana Bezerra, 1
John Clegg, 1
Cesáreo Estébanez, 1
Eddie Castrodad, 1
Michael York, 28
Pascal Demolon, 1
Darrell Hammond, 7
Peter Moreton, 2
Jeremy W. Auman, 2
Mervin W. Frates, 1
Kenneth Utt, 2
Scott L. Schwartz, 2
Randle Ayrton, 1
Erik Dellums, 3
William Shatner, 33
André Vippolis, 1
Shea Whigham, 10
Carl Esmond, 2
Maxime McKendry, 2
Janine Fluet, 1
Lusia Strus, 5
Tommy Farrell, 1
Bruno Fernández Vella, 1
Robert Osterloh, 1
Angie Phillips, 2
Tony Britts, 1
Toni Burke, 1
Doug Wert, 2
Howard Caine, 7
Nova Ball, 1
Francis Mutei, 1
Adrienne Corcoran, 1
Akim Tamiroff, 10
Lila Waters, 3
Don Steele, 5
Cindy Harrell, 1
Kristine Cameron, 1
Eryl Maynard, 1
Steve McCoy, 1
Castulo Guerra, 6
Axel, 2
David Johnson, 1
Sam J. Jones, 4
József Székhelyi, 1
Maetrix Fitten, 1
Ludwig Stössel, 4
Idalis DeLeon, 2
M. Night Shyamalan, 6
Simon Scott, 1
Linda Bassett, 9
Nino Manfredi, 1
Morteza Fatemi, 1
Satch Huizenga, 1
Jason Guzak, 1
Giovanna Zacarías, 1
Jack Livingston, 1
Kendra Krull, 1
Rachel Dretzin, 1
R. Patrick Sullivan, 1
Julius Ritter, 2
Harold Hopkins, 4
Fu Ching Chen, 3
Richard Hawley, 1
Jimmy Woodard, 1
Pamela Holt, 2
Alexis Llewellyn, 1
Norma McCarty, 2
Nick Reding, 2
Aaron Osborne, 2
Ann Cusack, 11
Janice King, 2
Fumihiko Tachiki, 1
