Actor, Number of Movies
Hugh Sachs, 1
Jeanne Baird, 1
Alan Badel, 5
Devid Striesow, 1
Vo Vinh Phuc, 1
Jeanne Evans, 1
Christina Payano, 1
Martin Sitta, 1
Rollo Lloyd, 1
Hseyin Mete, 1
Bruce MacVittie, 7
Kin'ya Aikawa, 1
Emma Samms, 2
Bessie Lyle, 1
Judith Buchan, 1
Danny Jacobs, 1
Siu Ta, 6
Diane Bailey, 1
Mitch Cantor, 2
Yeong-hie Seo, 1
Vesa Vierikko, 3
Yiwen Chen, 1
Ashley Gutherie, 1
Victoria D'Angelo, 1
Larry Gleason, 2
Teiji Ito, 1
Roger May, 2
Roman Polanski, 9
Isao Yatsu, 1
Amanda Donohoe, 6
Brett Halsey, 2
Virginia Mayo, 5
Hae-yeong Lee, 1
Karen Holness, 3
Adrian Zmed, 3
Jappe Claes, 1
Gabriella Battistoni, 1
Joyce Ingle, 2
Wren T. Brown, 3
Marcello Magni, 2
John Bleifer, 1
Susan Ward, 6
Melanie Tomlin, 1
Art Oughton, 1
Cote Soler, 1
Axel Düberg, 3
Nanette Fabray, 1
Yu Chen, 1
Howard Fong, 3
Thomas Turgoose, 1
Duncan Macrae, 3
Juliette Marshall, 2
Dennis Lemoine, 1
Jen Jones, 2
S.D. Nemeth, 2
Nathalie Besançon, 1
Jacqueline Carpentier, 1
Patrick Mynhardt, 1
Al Vrkljan, 3
Edie Martin, 1
Julian Barratt, 1
Freddie Jones, 26
Barbara J. Longo, 1
Gino Sitson, 1
Seth Granger, 3
Charles Daish, 6
David Faustino, 1
Robert Lewis, 5
Venera Bonaccorso, 1
Marina Foïs, 2
Dick O'Neill, 16
Pat Pierre Perkins, 2
Richard Pickren, 1
Lyle Lovett, 11
Joachim Bernhard, 2
Fison Burgess, 1
Kerri Parker, 1
Bernie McInerney, 1
Ming-Na, 9
Yukako Kukuri, 2
Lorraine Berry, 1
Rocco Siffredi, 2
Russell Lee Nash, 1
Philly Abe, 1
Jeane Fournier, 2
Bill Beutel, 2
Cliff Gorman, 10
Reiko Hiroshige, 1
Lionel Belmore, 1
Owen Burke, 1
Kimberly Elise, 7
Jeff Doucette, 6
Leon Herbert, 3
James Campbell, 1
Sage Allen, 7
Kay Medford, 4
Brenda Hickam, 2
London Lee, 1
Helene Nelson, 2
Merritt Butrick, 4
Sara Stockbridge, 2
John Speredakos, 1
Per Myrberg, 3
Ray Stoddard, 1
Reed David, 1
Ian Liston, 1
Kevin Caira, 1
Alexander Siddig, 7
Shaun Dingwall, 1
Mártha Eggerth, 1
David Rowlands, 1
Joe Blasco, 1
Tai, 1
Damon Martin, 4
Eyal Elhadad, 1
Robert Buchanan, 2
Lachy Hulme, 1
Clarence Brewer, 1
Barbara Durkin, 2
George Harris, 5
Susan Wooldridge, 3
Arthur O'Sullivan, 2
Kendall Cunningham, 1
Jo-El Sonnier, 1
Trevor Cooper, 3
Justin Hogg, 1
Tamer Hassan, 3
Humberto Serrano, 1
Tom Mahoney, 1
Rich Komenich, 5
George S. Irving, 2
Augusto Benedico, 2
Françoise Armelle, 1
Antonia Bogdanovich, 2
Bruce Boxleitner, 7
William Beckley, 2
Douglas Dirkson, 2
Patrick Kavanagh, 1
Géraldine Pailhas, 3
Toby Hoguin, 1
Anne Yernaux, 1
Valery Pappas, 1
Carolyn Seymour, 6
Carrie Ann Inaba, 2
Paul McGillion, 1
Blanka Copikova, 1
Timothy Wicker, 2
Ellen Ratner, 1
Dana Vávrová, 3
Evan Stone, 1
Eddie Francis, 1
Mitzi McMillin, 1
Caroline Strong, 1
Essence, 1
Aude Briant, 1
Tommy 'Tiny' Lister, 15
Linda Nagle, 1
Shawn Soong, 1
Donna Corcoran, 1
Barbara Whinnery, 1
Chen-ta Chou, 1
Edith Fellows, 2
Midori Kiuchi, 2
Phil Joanou, 1
Tim Beekman, 2
Sharunas Bartas, 1
Moosie Drier, 1
Gregory White, 1
Aamir Khan, 2
Brian Wagner, 3
José Legarreta, 1
Christian Sinniger, 1
Robert Reese, 1
Philippe Lyrette, 1
Rod Roesser, 2
Marshall Bell, 29
Melody Anderson, 3
Trudi Goodman, 1
Ty Burrell, 13
Corinna Tsopei, 2
John Beckett, 1
Luís Lima Barreto, 1
Andy Merrill, 1
Bob Ostertag, 1
Lyn Bolton, 1
Ken Norton, 1
Ursula Jones, 1
Pedro Fernández, 1
John Arnatt, 1
Yôsuke Akimoto, 4
Mike Nomad, 3
Simbi Khali, 3
Deon Richmond, 6
Barry Miller, 13
Michele Sincavage, 1
Keith Barish, 5
Donna Gibbons, 1
John Paul Hudson, 1
Barbara Hamilton, 1
Giovonnie Samuels, 1
Françoise Graton, 1
Jenny Seagrove, 5
Dick Monda, 1
Josie Maran, 3
Yvonne Clech, 2
Roschdy Zem, 8
David Pinilla, 2
Karl Scheydt, 2
Trevor Laird, 3
G.P. Huntley, 1
Enzo Cilenti, 1
John Daly, 2
Mike Fasolo, 2
Diahann Carroll, 6
Isabelle Weingarten, 1
Claude Brooks, 3
Tammy Taylor, 1
Ken Chapin, 2
Zeveljamz Nyam, 1
Ben Hartigan, 2
Joseph Teruel, 1
Su Cruickshank, 1
Jordan Masterson, 1
Beverly Todd, 4
Aron Eisenberg, 2
Helmut Qualtinger, 2
Joe Shaw, 1
Robin Leach, 2
Dan Fintescu, 2
Tom Challis, 1
Griff Furst, 1
Syd Cain, 1
Salkin, 1
Nicki Aycox, 8
Wesley Snipes, 41
Darlene Lucht, 1
Tito Vuolo, 2
Takashi Tsukamoto, 1
Diane Robin, 2
Brandon Cook, 2
Jim Davidson, 1
Peter Jonfield, 5
Zeffie Tilbury, 1
Nicoye Banks, 3
Scott Simpson, 1
Kelly Lima, 1
John Wengraf, 3
Marcello Thedford, 6
Barry Cahill, 3
Michel Scotto di Carlo, 2
Karl Lewis Miller, 1
Paul-Ottar Haga, 1
Nicole Randall Johnson, 1
Cordell Clyde, 1
George McNeilage, 1
Eric Pohlmann, 3
Claudia Drake, 1
Ruth Maitland, 1
Fred Medrano, 1
Tyson Breech, 1
Dan Fauci, 1
Enrique Castillo, 3
Michèle-Barbara Pelletier, 2
Shima Ise, 1
Tami Roman, 1
Aryana Engineer, 1
Pawel Szajda, 2
Christophe Malavoy, 1
Georges Claisse, 1
Eileen Pedde, 2
Hartmut Becker, 2
Silvia Suvadova, 1
Helen Schneider, 1
Erica Owens, 1
Tain Bodkin, 1
Erik Jensen, 3
Laura Urstein, 1
Ian Bliss, 7
Carsten Bjørnlund, 1
Alex Karras, 6
Esme Lambert, 2
Cheryl Pollak, 4
Harimohan Nag, 1
John Hoffmeister, 1
Luke Ka'ili Jr., 1
Paul L. Smith, 11
Adam Barnhardt, 1
Judy James, 2
Jack Bond, 1
Annie Parisse, 7
Billy Hartman, 2
Mike Gwilym, 1
Kika Markham, 1
Candy Ann Brown, 5
William R. Dean, 2
George Lessey, 2
Jenine Jennings, 2
Matthew Nicolay, 2
Andrea Matteuzzi, 1
Martin Muller, 1
Steve Martin, 60
Gastón Pauls, 2
Leslie Stefanson, 8
Penelope Milford, 9
Emily Robison, 1
Hyung-keun Yu, 1
David Roland Frank, 3
Chaz Lamar Shepherd, 2
Chris Stack, 4
Nina Arianda, 2
James Logan, 2
Liz Vassey, 3
Jürgen Schornagel, 1
Michelle Jordan, 1
James Edmund, 1
Rolf Becker, 2
Donald Byrd, 1
Pei Wang, 1
George Lindsey, 5
Beth Anderson, 3
Bárbara Elorrieta, 2
Patrick Malahide, 13
Ka Tung Lam, 4
Lana Burner, 1
Frank Gilbert, 1
Jack Briggs, 1
Ralph Hughes, 1
Camilla Søeberg, 2
Warren Jacquin, 1
Dallas Roberts, 8
Arthur Hughes, 2
Melvin Thompson, 2
Boogie Knights, 1
Attilio Cucari, 1
Lois Collier, 1
Diana Kent, 5
Lucy Ramos, 1
Sindisiswe Nxumalo, 1
Canada Lee, 2
Robert Demorget, 1
Beth Broderick, 5
Carolina Lopes, 1
Russell Sams, 2
Xavier Hernandez, 2
Huntley Ritter, 1
Jimmy Sturtevant, 2
Jack De Mave, 2
Whilwind, 1
Elizabeth Lindsey, 1
Roman Arabia, 1
Renato Berta, 1
Devon Ericson, 2
Jimmy Keen, 1
Eric Edelstein, 1
Juan Kincaid, 1
Carlo Mazzacurati, 1
Shirô Osaka, 1
Paresh Ganatra, 1
Kelly Swiderski, 1
Karen Kopins, 1
Han Kim, 2
Charles Tyner, 7
Kevin Clash, 10
Jake McLaughlin, 1
Tera Heart, 1
Melina Kanakaredes, 7
Elizabeth Perkins, 16
Vicki Darnell, 1
Fred Dur, 1
Enrico Grazioli, 1
John F. Goff, 3
Steve Hutchison, 1
Aya Hara, 1
Gabriel Malema, 1
Barbara Franklin, 1
Yenny Paola Vega, 1
Ophelia Lovibond, 1
Manu Tupou, 3
J. Herbert Kerr Jr., 1
Jonathan Higgins, 3
Frank Campanella, 4
